dataset,n,m,dgy,cclos,t
data/edinburgh_associative_thesaurus.txt.gz,23132,297094,34,205,1.93
data/email-Enron.txt.gz,36692,183831,43,187,0.84
data/escorts.txt.gz,16730,39044,11,69,0.08
data/euroroad.txt.gz,1174,1417,2,4,0.00
data/eva-corporate.txt.gz,7253,6711,3,7,0.01
data/exnet-water.txt.gz,1893,2416,2,3,0.00
data/facebook-links.txt.gz,63731,817090,52,233,2.70
data/foldoc.txt.gz,13356,91471,12,63,0.10
data/foodweb-caribbean.txt.gz,492,3313,13,155,0.00
data/foodweb-otago.txt.gz,141,832,14,36,0.00
data/football.txt.gz,115,613,8,10,0.00
data/google+.txt.gz,23628,39194,12,490,0.10
data/gowalla.txt.gz,196591,950327,51,1132,2.14
data/haggle.txt.gz,274,2124,39,41,0.00
data/hex.txt.gz,331,930,3,3,0.00
data/hypertext_2009.txt.gz,113,2196,28,54,0.00
data/ia-email-univ.txt.gz,1133,5451,11,19,0.01
data/ia-infect-dublin.txt.gz,410,2765,17,23,0.00
data/ia-reality.txt.gz,6809,7680,5,19,0.01
data/infectious.txt.gz,410,2765,17,23,0.00
data/ingredients.txt.gz,4372,431654,383,836,3.25
data/iscas89-s1196.txt.gz,377,537,2,3,0.00
data/iscas89-s1238.txt.gz,416,625,2,3,0.00
data/iscas89-s13207.txt.gz,2492,3406,4,31,0.01
data/iscas89-s1423.txt.gz,423,554,2,5,0.00
data/iscas89-s1488.txt.gz,463,779,3,11,0.00
data/iscas89-s1494.txt.gz,473,796,3,11,0.00
data/iscas89-s15850.txt.gz,3247,4004,4,16,0.01
data/iscas89-s208.1.txt.gz,61,67,2,3,0.00
data/iscas89-s27.txt.gz,9,8,1,2,0.00
data/iscas89-s298.txt.gz,92,131,2,6,0.00
data/iscas89-s344.txt.gz,100,122,2,5,0.00
data/iscas89-s349.txt.gz,102,127,2,5,0.00
data/iscas89-s35932.txt.gz,12515,15961,2,2,0.05
data/iscas89-s382.txt.gz,116,168,2,5,0.00
data/iscas89-s38417.txt.gz,9500,10635,4,12,0.01
data/iscas89-s38584.txt.gz,9193,12573,4,13,0.01
data/iscas89-s386.txt.gz,114,200,3,13,0.00
data/iscas89-s400.txt.gz,121,182,2,5,0.00
data/iscas89-s420.1.txt.gz,129,145,2,3,0.00
data/iscas89-s444.txt.gz,134,206,2,5,0.00
data/iscas89-s510.txt.gz,172,251,2,3,0.00
data/iscas89-s526.txt.gz,160,270,3,9,0.00
data/iscas89-s526n.txt.gz,159,268,3,9,0.00
data/iscas89-s5378.txt.gz,1411,1639,3,5,0.01
data/iscas89-s641.txt.gz,100,144,3,7,0.01
data/iscas89-s713.txt.gz,137,180,3,7,0.01
data/iscas89-s820.txt.gz,239,480,3,16,0.01
data/iscas89-s832.txt.gz,245,498,3,19,0.01
data/iscas89-s838.1.txt.gz,265,301,2,3,0.01
data/iscas89-s9234.txt.gz,1985,2370,4,10,0.02
data/iscas89-s953.txt.gz,332,454,2,4,0.01
data/jazz.txt.gz,198,2742,29,42,0.02
data/karate.txt.gz,34,78,4,7,0.01
data/lederberg.txt.gz,8324,41532,15,175,0.08
data/lesmiserables.txt.gz,77,254,9,9,0.00
data/link-pedigree.txt.gz,898,1125,2,14,0.00
data/linux.txt.gz,30834,213217,23,4836,2.71
data/livemocha.txt.gz,104103,2193083,92,1129,62.63
data/loc-brightkite_edges.txt.gz,58228,214078,52,184,0.35
data/location.txt.gz,225486,293697,5,854,1.52
data/mag_geology_coauthor.txt.gz,2852295,4448428,13,193,75.17
data/marvel.txt.gz,19428,96662,18,745,0.18
data/mg_casino.txt.gz,109,326,9,8,0.00
data/mg_forrestgump.txt.gz,94,271,8,4,0.00
data/mg_godfatherII.txt.gz,78,219,8,9,0.00
data/mg_watchmen.txt.gz,76,201,7,6,0.00
data/minnesota.txt.gz,2642,3303,2,3,0.00
data/moreno_health.txt.gz,2539,10455,7,17,0.01
data/mousebrain.txt.gz,213,16089,111,179,0.03
data/movielens_1m.txt.gz,9746,1000209,255,2356,14.83
data/movies.txt.gz,101,192,3,6,0.00
data/muenchen-bahn.txt.gz,447,578,2,2,0.00
data/munin.txt.gz,1324,1397,3,29,0.00
data/netscience.txt.gz,1461,2742,19,6,0.00
data/offshore.txt.gz,278877,505965,13,5698,1.79
data/openflights.txt.gz,2939,15677,28,111,0.01
data/p2p-Gnutella04.txt.gz,10876,39994,7,29,0.04
data/panama.txt.gz,556686,702437,62,1948,5.86
data/paradise.txt.gz,542102,794545,23,4242,5.62
data/photoviz_dynamic.txt.gz,376,610,4,13,0.00
data/pigs.txt.gz,492,592,2,7,0.00
data/polblogs.txt.gz,1224,16715,36,130,0.04
data/polbooks.txt.gz,105,441,6,16,0.00
